Movie Name,Genre,Description,Crew,Keywords
Shubh Mangal Saavdhan,"Comedy, Romance","Join Jagga, a gifted teenage detective, who along with a female companion, is on a quest to find his missing father.",,
"Mom
(I)","Crime, Drama, Thriller","In this remake of Kalyana Samayal Saadham (2013), a couple falls in love, but then the groom discovers that he suffers from erectile dysfunction.",,
Naam Shabana,"Action, Drama, Thriller","After her daughter is sexually assaulted at a party, a furious mother sets out to destroy the lives of the four perpetrators who walked away free.",,
Tumhari Sulu,"Comedy, Drama","This Spin-off from Baby (2015) provides the back-story of intelligence agent Shabana, and chronicles how she becomes a spy.",,
Bareilly Ki Barfi,"Comedy, Romance",Sulu is an ambitious housewife with a loving husband and a happy family. Things start changing for her when she accidentally lands a job as a radio jockey and her show becomes an instant hit.,,
Munna Michael,"Action, Drama, Music","Set in the small-town of Bareilly, Bitti is a free-spirited young girl who lives life on her own terms and refuses to be pressured into getting married. Her life takes a shift when she meets Chirag Dubey and Pritam Vidrohi.",,
Ittefaq,"Crime, Mystery, Thriller","A young man, tries to follow the footsteps of his idol, The King of Pop, Michael Jackson.",,
Phillauri,"Comedy, Drama, Fantasy",A detective seeks out the truth between two different stories of a crime scene.,,
Raabta,"Action, Drama, Fantasy","A man must marry a tree to ward off threats to his love-life, but the tree turns out to have more spirit than the man bargained for.",,
Commando 2,"Action, Adventure, Thriller","An inseparable couple Saira and Shiva find themselves in a complicated situation when a stranger claims to be her reincarnated lover from their previous lifetime, hellbent on destroying their relationship and winning her back.",,
OK Jaanu,"Drama, Romance","Commando Karan uses his combat skills to eradicate black money, which has been siphoned to banks abroad.",,
Newton,"Comedy, Drama",2010-2019 Bollywood Movies,,
Begum Jann,"Action, Drama, History",A government clerk on election duty in the conflict ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks by communist rebels.,,
A Gentleman,"Action, Comedy",The story of eleven prostitutes who refuse to part ways with their brothel and each other during the partition between India and Pakistan.,,
The Ghazi Attack,"Action, Thriller, War","Gaurav, a simple hard working guy for a white collar job visits Mumbai for a meeting where his doppelganger is about to bring chaos in his life.",,
Lipstick Under My Burkha,"Comedy, Drama","A Pakistani submarine, Ghazi plans to secretly attack Vizag port. For doing so, it has to get past Indian submarine S21.",,
Simran,"Crime, Drama, Thriller","In order to be independent and break free from the conservative society, four women sets on a journey to discover freedom and happiness.",,
Qarib Qarib Singlle,"Comedy, Romance","A socially-criticized, financially-cornered girl becomes an outlaw to dodge the situation.",,
Babumoshai Bandookbaaz,"Action, Comedy, Crime","Yogi and Jaya, who have polar opposite personalities and sensibilities, meet via a online dating app. This encounter turns into so much more when the two travel to Rishikesh.",,
Poster Boys,Comedy,"The movie, filled with humor and romance, is a quirky ride into the life and times of a small time contract killer, Babu, played by Nawazuddin Siddiqui. The film spins around his love, his friends, his rivalries and his revenge.",,
Lucknow Central,"Action, Crime, Drama",Life of three men comes in trouble when their photos appear on advertisement for sterilization.,,
Shaadi Mein Zaroor Aana,"Drama, Romance","When an innocent man aspiring to be a musician is framed for committing a murder, he decides to form a music band with his co-prisoners for a competition, but his real intention seems to be different.",,
Guest iin London,Comedy,"Satyendra Mishra ""Rajkumar Rao"" and Aarti Shukla ""Kriti Kharbanda"" agree to get married arranged by their parents, after Satyendra Mishra get government job. Aarti Shukla, run away from their marriage. What life waits for them ahead?",,
Bhoomi,"Action, Crime, Drama","A young couple in London struggle to live with their estranged aunt and uncle, who overstay their welcome.",,
Firangi,"Comedy, Drama",A single father battles injustice after his daughter is raped and the perpetrators are found not guilty.,,
Sarkar 3,"Action, Crime, Drama","When there are disputes in life, love overcomes all challenges and truth prevails. Set in the colonial era, Firangi is the story of a mutiny staged by the villagers against the Britishers.",,
Meri Pyaari Bindu,"Comedy, Drama, Romance","The third film in Ram Gopal Varma's Sarkar trilogy, which chronicles the exploits of a powerful political figure.",,
"Daddy
(III)","Action, Biography, Crime","Abhimanyu Roy returns to his roots to write an old-fashioned love story, 3 years in the making. This writer's block is called Bindu. How do you contain this live wire in a book?",,
Haseena Parkar,"Biography, Crime, Drama","Spanning the 1970s and 1980s, this is the sensational true story of Arun Gawli, who grew up in Mumbai's impoverished Dagdi Chawl, to become a dreaded don, politician, and rival of India's most powerful crime boss, Dawood Ibrahim.",,
"Noor
(I)","Adventure, Comedy, Drama","Haseena is very close to her brother Dawood, who turns to a life of crime and rises to power in the Mumbai underworld. After the bomb blasts of 1993, Dawood escapes to Dubai and she falls in trouble.",,
Bank Chor,"Action, Comedy, Crime","The jumbled up, crazy and happening life of journalist Noor takes a dramatic turn when she comes across a news breaking cover story.",,
Chef,"Comedy, Drama, Family","A comic-caper, that tells the story of 3 morons trying to rob a bank who pick the worst day possible when everything that can go wrong, goes wrong and how they're inadvertently caught in the crossfire.",,
Aksar 2,"Crime, Drama, Mystery",Chef Roshan Kalra sets out to find the true source of happiness and reignite his passion for food while being more present in his son's life.,,
Indu Sarkar,"Drama, Thriller",A husband's plan to break up his marriage so that he can be with another woman backfires with unexpected consequences.,,
Poorna,"Action, Adventure, Biography",Indu Sarkar is set during the emergency period between 1975 to 1977 declared by Prime Minister Indra Gandhi.,,
"Machine
(II)","Action, Mystery, Romance",An Adivasi 13-year-old from Telangana becomes the youngest girl in history to climb Mount Everest.,,
"Trapped
(XVII)","Drama, Thriller","Machine depicts the story of racing enthusiasts , who meet each other under mysterious circumstances. As their bond becomes stronger, they eventually fall in love. However, new things begin to unfold, which change their lives forever",,
Maatr,Thriller,"A man struggles to survive after he unintentionally locks himself up in a high rise devoid of food, water and electricity.",,
Julie 2,"Drama, Romance, Thriller","Vidya, who's left shattered after her daughter Tia's murder, seeks vengeance by fighting the broken justice and criminal system.",,
Behen Hogi Teri,Comedy,"A simple girl rises to be a big star, but the story of her success is not without its dark side.",,
Tera Intezaar,"Romance, Thriller",A jobless youngster has to fight with criminal rivals who come to snatch away his neighborhood lady love as a bride and also his family which seems not to take note of his feelings towards the girl next door.,,
Dobaara: See Your Evil,"Horror, Mystery",A woman sets out to uncover how her lover went missing.,,
Patel Ki Punjabi Shaadi,Comedy,Siblings Natasha and Kabir Merchant investigate an allegedly haunted mirror in their parents' home in this official adaption of 'Oculus'.,,
Haraamkhor,"Drama, Romance",Comedy movie is about a Punjabi and Gujarati family. and their cultural clash. Gujarati is played by Paresh Rawal and Punjabi Played by Rishi Kapoor.,,
Ek Haseena Thi Ek Deewana Tha,Drama,"A selfish, manipulative schoolteacher takes advantage of a schoolgirl's vulnerability to gratify his dark, narcissistic desires.",,
Aa Gaya Hero,Action,"Natasha and her fiance, Sunny visit her ancestral property where she meets Devdhar, a man who she forms a passionate connection with.",,
Aval,Horror,"ACP Ravindra Varma, a fearless and sincere police officer, is called to nab terrorist Milind Shinde, who has political backing.",,
Running Shaadi,"Comedy, Romance","A young married couple begin to encounter several paranormal attacks, when a family moves into a neighbouring house, that is being haunted by a vengeful spirit, which leads them to perform an exorcism in order to help save the neighbours.",,
A Death in the Gunj,"Drama, Thriller","Two friends, Ram Bharose and tech genius Cyberjeet, create a website that helps lovers to elope. The site is an instant hit; young couples line up for the opportunity to escape strict families and run away with the ones they love.",,
Sniff,"Adventure, Comedy, Family",Life for a shy young Indian student slowly falls to pieces during a family road trip.,,
Anaarkali of Aarah,Drama,"Little Sunny Gill, coming from a family of pickle manufacturers, is a misfit as he cannot smell, but when a laboratory accident enhances his olfactory abilities, he transforms into one-of-a-kind super hero.",,
Jia Aur Jia,Drama,"A village dancer is harassed by a local politician and is ridiculed by the police, but ends up plotting revenge to clear her name.",,
Irada,"Drama, Mystery, Thriller","A story about two starkly different women that share the same name. Together, they embark on a life-changing journey heading towards the same fate.",,
Laali Ki Shaadi Mein Laaddoo Deewana,"Comedy, Drama, Musical",An NIA officer tries to unravel the conspiracy that led to the bombing of a business tycoon's factory.,,
Sallu Ki Shaadi,Romance,Laali and Ladoo get trapped in a royal wedding that takes place in Vadodara.,,
Rukh,"Drama, Mystery","Zeenat and Shahnawaz were a match made in movie theatre. They met in 1989, during a screening of Salman Khan's Maine Pyar Kiya, cupid struck swiftly and marital bliss followed. Everything ...                See full summary��",,
Coffee with D,Comedy,"After his father dies in a car accident, a boy rediscovers his lost connections and familial ties, confronting untold secrets and memories on his way.",,
Mirza Juuliet,Drama,"A celebrated journalist interviews one of the world's most dreaded terrorists, ""D"".",,
Monsoon Shootout,"Action, Crime, Drama","The world is full of fascination and obsessions. Different people have different desires and goals in life. For some its power, for some its money, for some its someone and for some its ...                See full summary��",,
Gurgaon,"Crime, Thriller","As heavy rains lash Mumbai, a cop on his first assignment faces a life altering decision when he must decide whether to shoot a suspect or not.",,
Mukti Bhawan,"Comedy, Drama",Based on true event this story revolves around kidnapping of Preeto which family has come to know from midnight call. The tales revolves as to how they family will be able to track Preeto..,,
Ribbon,"Drama, Family","Faced with his father's untimely and bizarre demand to go and die in the holy city of Varanasi and attain Salvation, a son is left with no choice but to embark on this journey.",,
Qaidi Band,"Drama, Music",A young working urban couple is overwhelmed with the birth of a baby girl and find that parenthood comes with its own challenges.,,
Tu Hai Mera Sunday,"Comedy, Drama",7 Prisoners. 1 Band. Music Will Set Them Free. A riveting tale of undertrials who come together to form a band in jail and their music becomes their only hope for freedom.,,
Kadvi Hawa,Drama,"When their Sunday soccer game on the beach is canceled, five friends set out to find another place to play in the noisy, crowded city of Mumbai.",,
"Wedding Anniversary
(I)","Drama, Mystery","Story of a farmer and a bank recovery agent, whose lives are impacted by climate change. Both are willing to go to any length for the sake of their family. What does fate have in store for them?",,
Shab,"Drama, Romance",Kahani met her Prince Charming Nirbhay in Goa for the first time and fell in love. So far their journey together has been excellent and today is their first wedding anniversary.,,
Dear Maya,"Drama, Romance","""Shab"" is a story that revolves around multiple characters' search for happiness and love in a complex, unforgiving, and cold city.",,
"Jeena Isi Ka Naam Hai
(I)",Drama,"Anna and Ira prank a local woman by writing her letters from a secret admirer. The prank takes a more serious turn when the local women goes missing,",,
